total_spending_usd,artist_id,artist_name,n_collection,collected_artists,page_link,twitter
83227.93,CocoBear,Coco__Bear,2,zumidraws;liampannier,https://foundation.app/CocoBear,
82250.49224400001,lucrafund,Lucrafund,56,zamandizini;iliminskiy;marinabanker;damian_steel;hoangnguyen;hsinghart;dmitriyshorin;willwaltz;kydryashowa;natalieshau;wearingfondness;rorybjorkman;insipiens;carlesmarsal;gospodinhudojnik;rickylinn;draino;insipiens;paulsnijder;marinanakagawa;insipiens;t2visuals;rodionchik1337;ponochevny;petolas;marinabanker;stahlberg;lanadenina;insipiens;druc89;zamandizini;leeyunsung;polygonyogurt;krishnavr;insipiens;dilandibek;krishnavr;dhimaximus;francescomori;hoangnguyen;zenzdesign;arcade;skipintrobaby;ioyoi;francocarlesimo;swolfchan;callmekarizma;popkins;fractalmotion;tillavision;seethrough;3dstoryteller;paulsnijder;sub_sensus;tru;savagedogs,https://foundation.app/lucrafund,https://twitter.com/lucrafund
81894.15602800001,cryptopolitan,Cryptopolitan Gallery,46,tru;rezaafshar;rezaafshar;thirdwd;longpham;longpham;tatsuyam;pnkfdarts;bosslogic;jcbarquet;thirdwd;abiwolcoff;polygonatic;agk42;shantell;kaanulgener;erenarik;tatsuyam;disarto;rezaafshar;alexeylunhu;lightpure;ketom;25m42;andreewallin;diberkato;dechambo;pnkfdarts;masanoriotaka;25m42;flaptraps;comp_ot;aleyartist;ruslan_bolgov;eduardo_creativum;wojtekfus;forlenza;ryanchurch;surrealistshay;afterform;_richardparry_;robin_danos;afterform;ruslan_bolgov;lovevisuals;glasscrane,https://foundation.app/cryptopolitan,https://twitter.com/CryptopolitanG
78869.96179799999,el-berlin,@el-berlin,22,jacobs;jirat;eloh;marterium_;marterium_;yagizkocabiyik;marigoldff;marigoldff;marterium_;yagizkocabiyik;25m42;marigoldff;yuramiron;mbsjq;mr23;nathanhead;bel;jirat;bbb3viz;jirat;jirat;frankwilder,https://foundation.app/el-berlin,
69175.954,tc_tisi,tc_tisi,14,exonemo;exonemo;yuukimorita;seventhgraphics;koujitajima;ayjayart;zndrson;floraborsi;noluckycharmz;lipcomarella;blacksneakers;lipcomarella;lipcomarella;itsreuben,https://foundation.app/tc_tisi,
66572.895,alternative,@alternative,1,whynne,https://foundation.app/alternative,
66332.25981999999,jespow,Jesse Powell,61,tosik;geometrieva;naolito;jerrymessing;akira_;niall;omaraqil;cryptopastel;moxstudios;j_sky;linus_dahlgren_;marinanakagawa;eitoasano;jiriwu;mae_1031_;irem_bztk;arthurvista;nandanadim;christophe_tritz;soheilcheraghchi;johanakroft;luxx;chrisbischoff;bagerart;cole;ollorens;skycorphomevideo;jscheier;nikifeijen;pixelgustavo;bernabephoto;dreamphography;eboy;artvoodu;lauderlima;natemakuch;arthurvista;stahlberg;parh0;joakorhonen;moxstudios;gakutadar;paulbirman;lucas_zanotto;stfeyes;sinoppia;petra_cortright;linus_dahlgren_;annanatter;krypto-kids;krypto-kids;krypto-kids;ryanchurch;julienrivoire;marcelomeijome;mightyraccoon;lucas_zanotto;teapotlife;scp_artwork;arseniykey;timvanhelsdingen,https://foundation.app/jespow,http://twitter.com/jespow
64697.863,MansaMusa,Mansa Musa,16,cuppasketch;bosslogic;bosslogic;erikmusin;tillavision;tillavision;vintagemozart;archangel;xmuratakyol;archangel;loto;brickspacer;bluboy;bluboy;bosslogic;danielladoodles,https://foundation.app/MansaMusa,
64535.532,CryptoSteve,BitBuzz,28,camrackam;5v;jsnori;hateart;jmarino_vfx;oscarpettersson;trappistm0nk;artvandlay5000;jmarino_vfx;dennybusyet;alistaircsmith;jmarino_vfx;x23;maxschwugier;briktop;alistaircsmith;lz;carsoncatlin;jackmcveigh;ghostgirldxv3;psychdre;julienmissaire;index3d;jonmonaghan;oscarpettersson;jmarino_vfx;index3d;jonmonaghan,https://foundation.app/CryptoSteve,
64195.93521900001,uae,uae,29,kristelbechara;tamvfx;kristelbechara;kevinyaun;tamvfx;thomasdubois;canaksu;beno8fx;allo;blockmind;viktorkilbo;parh0;oftwolands;juusohd;musketon;volny;salavat_fidai;visualdon;willwaltz;kristelbechara;beno8fx;kumquatcompote;alx;jas;helloawalker;helloawalker;helloawalker;kaiwan;field_worldwide,https://foundation.app/uae,https://twitter.com/NftUae
63385.92233199999,maalavidaa,maalavidaa,32,solyaev;jonemmony;davyevans;davyevans;leif;devilspoint;rembagram;rus;chloegrienenberger;mikeyjoyce;oritoor;safehaven;chrisgolden;yumyum;safehaven;eric;loopinglovers;pa_noel;fizahrahim;chrisgolden;thisset;baugasm;yasly;wvxii;wescream;stuballingerart;nigelevandennis;heypatyeah;gossipgoblin;bestservedbold;joshwarner;iamlirona,https://foundation.app/maalavidaa,
61208.906848,Partner,@partner,70,pinot;tramdrey;petrokill;ra-in;ra-in;davidbrandongeeting;darioigp;kushgraphic;lipcomarella;irag_art;kimnahum;graumann;petrokill;100thieves;cg_fella_;darioigp;fraktality;perryberry;stevart3d;muffishot;artinmotion;paulsnijder;vertigo;voltaine;philoo;ra-in;ra-in;darioigp;lipcomarella;uchansun;darioigp;arthurpetrillo;lipcomarella;lipcomarella;flaviosamelo;lipcomarella;renderburger;muffishot;cg_fella_;glowa;luistoledo;arthurpetrillo;benbaret;alexniceartist;alexniceartist;panjoool;machadoxleao;philoo;vertigo;darioigp;voltaine;neonwasteland;swang;chucku;lunatico;teemu;pixelsmithy;voltaine;lisannehaack;movingpoints;teemu;ra-in;ra-in;ra-in;fedosart;brooklynsnobs;philoo;digitalfruit;oriony;austingriffith,https://foundation.app/Partner,
60670.18935999999,xray,xray,25,cotulemre;damnengine;damnengine;cagri_coskun;damnengine;bekarios;mehrdadmalek;victorfota;victorfota;victorfota;victorfota;riabovitchev;vormwelt;vormwelt;vormwelt;leonardodentico;victorfota;iammaskarade;vormwelt;robotpencil;skinner;shawnastrom;jenue;catswilleatyou;alexmarks3d,https://foundation.app/xray,https://twitter.com/xray9876543210
