token_id,creator,listing_date,listing_amt
93.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1612338977,1
93.0,0xf4b0498e71485717f6f9b6117672c19a0dba5100,1621292765,3
94.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,1622166542,5
94.0,0x88d01d4354da0d65c38b0196c4400525a5eebe17,1612339421,1
95.0,0x88d01d4354da0d65c38b0196c4400525a5eebe17,1612339468,1.11
96.0,0xe1ddd5523094508a532d916aa4f7caf76a716aa7,1612345096,0.666
97.0,0xe1ddd5523094508a532d916aa4f7caf76a716aa7,1612347158,0.666
98.0,0xd7cc16935b8ebedc71c955fc4a2085c5050e6a46,1612349905,0.86
99.0,0xd7cc16935b8ebedc71c955fc4a2085c5050e6a46,1612355439,0.72
100.0,0xe00712086490734ef8b4d72839a7237e505767f5,1612353804,1
101.0,0x2e88216e35f296255665ebd75127240d40fc7832,1612374823,0.2
102.0,0x38e3767f996fcbde771e76f3f7aea69521fb8fb9,1612376598,1
102.0,0x7d42611012fdbe366bf4a0481fc0e1abf15e245a,1622097697,5
103.0,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,1612378487,0.5
104.0,0xcd54f6bf098c9869ceccffcab0089fee8786a7d2,1612386181,0.22
106.0,0xcd54f6bf098c9869ceccffcab0089fee8786a7d2,1612386205,0.22
107.0,0xdc81304324facbd2ad333440a760f8d2a3df0885,1612389702,1.23
108.0,0xde270dd37103351cd45610539648ff9d0b32bb50,1612394232,1.25
109.0,0xfc86d5777f0b60156870313388f34b98db406b3e,1612397106,1
110.0,0x3dc3d32accc95824bf3313d6ee57cb70e6837197,1612404807,0.75
111.0,0x3dc3d32accc95824bf3313d6ee57cb70e6837197,1612405966,1
112.0,0x3dc3d32accc95824bf3313d6ee57cb70e6837197,1612406809,1
113.0,0x3dc3d32accc95824bf3313d6ee57cb70e6837197,1612411070,1
114.0,0xdc81304324facbd2ad333440a760f8d2a3df0885,1612419854,0.833
115.0,0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,1612446041,1.5
116.0,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,1612465192,0.35
117.0,0xcf0949bf6d2adf8032260fd08039c879cf71c128,1612470119,2
118.0,0x41fbc000a762b0c4cd79b970f769182d21528f89,1612471174,0.5
119.0,0x65fc07ebade4d56751b0d12ba49cb2425493e339,1612471881,4
120.0,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,1612474385,1
121.0,0x74a8c3b64a22902d92a9984ba07a0d3fc7ec1072,1612488263,0.75
122.0,0x3dc3d32accc95824bf3313d6ee57cb70e6837197,1612489997,1.2
123.0,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,1612496601,0.333
124.0,0x8f8e01bac9f0480a7a89fd3a876bf031f9fbaaae,1612545472,0.6
125.0,0x8f8e01bac9f0480a7a89fd3a876bf031f9fbaaae,1612545555,0.6
126.0,0x8f8e01bac9f0480a7a89fd3a876bf031f9fbaaae,1612545627,0.6
127.0,0x47edbd307180556dbbeb5beabd8a40ac30520f57,1612505950,0.75
128.0,0xe1ad0e14e0b6b174aa4c5819d18fac6395bdd486,1612516997,1.3
129.0,0xeb46d7f2e2243d3c03b91ce07d16f61e77b40663,1612547950,1
130.0,0x4a22910f4db3e7bf000eacfa06126d5db7f0efd5,1612550589,1.8
131.0,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,1612554420,1
133.0,0x0bb24bc26c1a252d887ef35856265653e3461f43,1612562034,0.3
134.0,0x3dc3d32accc95824bf3313d6ee57cb70e6837197,1612589192,2
135.0,0x3dc3d32accc95824bf3313d6ee57cb70e6837197,1612592732,1
136.0,0x75fafe0de0d0c341f027a2fbbc6f30ac30c02a8a,1612597887,1
137.0,0xc46aa1c8ecd21eced811ec5b93bef4af3b54597d,1612605048,1
137.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,1620449007,1.5
138.0,0x6877be9e00d0bc5886c28419901e8cc98c1c2739,1612641155,0.15
139.0,0xfccb96245ece8c0c0ba80992a5719cba1e2f504f,1612648502,0.6
140.0,0x854a8a5fc02cf0472061e5f9bf909fde28fc5f0e,1612648445,0.5
141.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,1622165744,10
141.0,0xfccb96245ece8c0c0ba80992a5719cba1e2f504f,1612648610,0.6
142.0,0x6ef5c251a746d1259ff6ac22a6f0670d26b0c4c9,1612648868,0.33
