token_id,bidder_id,creator,bidding_amt,bid_date
10.0,0xda3c325ab45b30aeb476b026fe6a777443ca04f3,0x47edbd307180556dbbeb5beabd8a40ac30520f57,0.75,1613763459
11.0,0xf4b0498e71485717f6f9b6117672c19a0dba5100,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.5,1612384135
11.0,0x89d349cac2fcda7c9e87e9cd261b1828304df3e0,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.4105,1612377756
11.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.3731,1612376492
12.0,0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.373,1612406178
12.0,0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.6,1612489771
12.0,0x9181483f62b5f210c166622250053ae0ee082725,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.45,1612413817
13.0,0x84e9445f43995b0c6a4d4c1d40bb123571c2eb06,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.3631,1612492815
13.0,0xdc0753f6b3cc6034317b73c10413c19958d36ed1,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.5,1612493148
13.0,0xa5c3a513645a9a00cb561fed40438e9dfe0d6a69,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.3,1612409681
13.0,0xa5c3a513645a9a00cb561fed40438e9dfe0d6a69,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.65,1612495382
13.0,0xdc0753f6b3cc6034317b73c10413c19958d36ed1,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.33,1612492750
14.0,0xb80bb63f05c5cfe8f5f84aaab4175d5916f2a608,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.33,1613309231
14.0,0x8d3b79ee106c808c1fcf6972a7862ac66399ff02,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.3,1613234435
14.0,0x8d3b79ee106c808c1fcf6972a7862ac66399ff02,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.3631,1613317723
15.0,0xa60f9b548309cbe75bf4a9880c69c746cb7073ae,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.3,1612377134
15.0,0x1d2ff3fb2b7400e4ae7a18f4febedfb02fc8e387,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.3631,1612459835
15.0,0xdc0753f6b3cc6034317b73c10413c19958d36ed1,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.33,1612396074
16.0,0xd9fa295d29f022d34028182329b051cbceb92579,0x12c84fa74c86184ac1b5bfe67e06354d708489a9,0.697,1613800293
16.0,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0x12c84fa74c86184ac1b5bfe67e06354d708489a9,1,1613882443
17.0,0x3b0aa499cc6acde1d4a7433da6968d7bb8bd8509,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,0.58,1612931381
18.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,0.58,1612395574
19.0,0x89d349cac2fcda7c9e87e9cd261b1828304df3e0,0x334022d77bfc9e8aa5b34907873457c545d9faf2,0.3,1612377756
20.0,0xbc62985faabed27a8f174cbd5ea1ee7b1ed8fc12,0x334022d77bfc9e8aa5b34907873457c545d9faf2,0.3,1612664985
22.0,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,0.3,1614366196
23.0,0x8d3b79ee106c808c1fcf6972a7862ac66399ff02,0x38e3767f996fcbde771e76f3f7aea69521fb8fb9,1.65,1612579714
23.0,0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,0x38e3767f996fcbde771e76f3f7aea69521fb8fb9,1.5,1612508495
24.0,0xa8f0493f916508c7c3e24711262487a0452a1837,0x334022d77bfc9e8aa5b34907873457c545d9faf2,0.3,1612428858
25.0,0x88d01d4354da0d65c38b0196c4400525a5eebe17,0x47edbd307180556dbbeb5beabd8a40ac30520f57,0.75,1612507486
26.0,0x363c68f64d12c1c0663293362cc4c60d58667958,0xb00f41cb3fe1fe17c26136b49cc156f75547f552,1.024,1612641549
29.0,0xb630abd9a5367763b7cba316e870c4a54064cc9f,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1.22,1612470934
29.0,0xb630abd9a5367763b7cba316e870c4a54064cc9f,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1,1612387076
29.0,0xd4e6fd78c21085d01dbd596d287360d746acf4d8,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1.1,1612444936
30.0,0xa69eb732230f041e62640da3571f414a01413db3,0xfddbe64dab03ff215569ce18780372d1219a7272,0.35,1612577678
30.0,0x632f7f3da8e705631f83d3fceaed8edc4e809d31,0xfddbe64dab03ff215569ce18780372d1219a7272,0.385,1612616029
30.0,0x632f7f3da8e705631f83d3fceaed8edc4e809d31,0xfddbe64dab03ff215569ce18780372d1219a7272,0.3,1612546394
